,,,,,,,,59,8,W,N,56,30,N,E,95.4,25,N,E
,,,,,,,,79,42,N,W,35,38,S,W,91.8,20,E,S
,,,,,,,,890,34,W,S,820,16,N,W,1384,22,W,S
,,,,,,,,880,23,N,W,310,21,S,E,570.3,24,E,S
,,,,,,,,260,19,E,N,360,13,E,S,196.1,32,W,N
,,,,830,19,E,N,300,13,S,W,270,12,S,E,704.1,20,N,E
,,,,26,36,E,N,86,7,W,S,99,26,E,N,54.1,27,E,N
,,,,3600,14,W,S,3500,13,N,W,5000,41,N,W,8075.2,4,E,S
,,,,7100,26,E,S,9600,4,N,E,8100,29,E,S,20972.2,38,W,N
,,,,21,25,E,S,74,5,E,N,65,32,W,S,19.1,1,W,S
,,,,8400,15,S,E,5200,1,E,S,8100,33,W,S,14665.5,15,N,W
,,,,23,28,E,S,81,10,N,W,67,4,E,N,88.4,43,E,S
,,,,910,27,S,E,530,16,E,N,880,39,N,E,1764.9,22,E,N
,,,,470,42,E,S,750,45,N,E,960,32,N,W,690.5,3,N,E
,,,,240,32,E,N,860,1,W,S,380,14,N,E,741.5,40,N,W
6100,26,W,N,8700,22,E,N,5200,25,S,W,2500,1,E,S,9748.7,25,S,E
80,34,S,E,29,5,N,E,60,18,W,N,97,27,S,E,165.7,10,W,N
520,35,E,S,930,33,N,W,460,30,W,N,210,18,W,N,1031.3,41,E,S
29,19,W,S,71,31,E,S,84,18,W,N,80,24,W,S,87.3,21,S,W
23,15,N,E,85,18,E,N,54,11,S,E,31,42,S,W,96.2,35,E,N
